Name,Lat,Long,Type,Order,
TCAT Wallstreet,42.116034,-86.452483,blue,1,
Michigan Works,42.115074,-86.465348,blue,2,
BH Post Office,42.110256,-86.463736,blue,3,
River Terrace Apt.,42.110254,-86.457768,blue,4,
Emipre and Columbus,42.101634,-86.448961,blue,5,
Empire and Union,42.101646,-86.441657,blue,6,
Intercare BH,42.102544,-86.436052,blue,7,
Save-a-lot BH,42.088709,-86.437108,blue,8,
Henry Hambergers,42.084822,-86.437156,blue,9,
Target,42.080667,-86.434759,blue,10,Perm. Closed
Dollar tree,42.085583,-86.433805,blue,11,
Orchard mall,42.085637,-86.424232,blue,12,Perm. Closed
Maijor BH,42.082548,-86.421979,blue,13,
Big lots,42.082242,-86.418849,blue,14,
Walmart,42.077808,-86.424668,blue,15,
Intercare BH,42.102544,-86.436052,blue,16,
Pipestone and Plummer,42.107206,-86.446024,blue,17,
"Family dollar, Plummer",42.109733,-86.447242,blue,18,
