r,d
0,0
3,0
4,0
5,0
7,0
8,0
10,0
11,0
13,0
160,0
173,0
174,0
175,0
181,0
232,0
240,0
241,0
242,0
243,0
244,0
264,0
266,0
1,1
2,1
6,1
9,1
10,1
11,1
12,1
13,1
162,1
165,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
74,2
76,2
78,2
79,2
80,2
82,2
83,2
84,2
85,2
94,2
95,2
96,2
97,2
100,2
137,2
138,2
139,2
140,2
141,2
161,2
163,2
164,2
172,2
183,2
184,2
185,2
186,2
187,2
216,2
217,2
218,2
220,2
222,2
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
92,4
93,4
99,4
101,4
102,4
105,4
107,4
108,4
109,4
110,4
111,4
112,4
245,4
246,4
257,4
262,4
10,5
11,5
12,5
13,5
73,5
75,5
77,5
81,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
215,5
219,5
221,5
223,5
224,5
225,5
230,5
231,5
237,5
238,5
239,5
247,5
248,5
249,5
250,5
251,5
262,5
Matching Rate: 0.50187265917603
