zone_id_o,zone_id_d,trips
0,1,373.95598629999995
0,6,66.7180989
0,8,137.31702309999997
0,24,66.3608706
0,29,87.4219123
0,38,108.5070632
0,50,128.6033133
0,53,60.81035970000001
0,65,87.4219123
1,1,188.07005880000003
1,8,72.48225000000001
1,20,27.6194344
1,29,227.4140543
1,39,346.494361
1,53,65.5665307
2,2,155.8336746
2,18,200.9489971
2,20,109.19012790000001
2,24,159.51392040000002
3,3,461.22483890000007
4,7,293.7288847
4,29,148.8907331
4,39,86.9538297
4,45,173.4490836
4,50,120.6730242
4,64,326.90010900000004
5,52,60.981106200000006
6,18,50.331899799999995
6,58,33.7160622
7,7,227.84566970000003
7,45,84.78598620000001
8,7,57.0750527
8,8,394.2639899
8,24,63.0861625
8,29,74.7385048
8,35,163.02320480000003
8,55,73.07255140000001
9,11,57.8723171
9,47,35.4060362
10,36,120.7771028
10,39,294.0921469
10,44,112.0514392
12,50,44.0772765
13,17,91.33500900000001
13,45,101.30157700000001
14,50,35.4060362
14,61,36.4818006
15,13,115.98826789999998
15,15,172.9079882
15,17,65.8264498
15,20,384.6364532
15,22,385.5372548
15,48,101.4875003
15,65,81.60842609999999
16,2,147.1526256
16,16,183.94174280000001
16,17,198.7860745
16,20,444.04481669999996
16,22,45.0409656
16,24,48.1231784
16,36,97.1806048
16,45,81.11438299999999
16,63,54.7424676
17,12,92.9166134
17,15,45.781503799999996
17,16,102.52517639999999
17,17,145.0947866
17,20,76.9006711
17,22,31.5335883
18,17,341.775981
18,19,275.63009739999995
18,20,183.73192830000002
18,21,59.339600100000006
18,66,59.339600100000006
19,17,71.80518509999999
19,18,101.0075558
19,19,695.5971413999999
19,20,166.922336
19,21,225.3124953
19,22,182.09118579999998
19,23,89.2792166
19,39,45.471324200000005
19,53,75.82763259999999
19,62,182.92938809999998
19,64,32.5838428
19,66,180.2606257
20,2,178.79386
20,17,480.68757029999995
20,18,219.637261
20,19,267.80178409999996
20,20,575.146284
20,21,353.9364835
20,22,264.4655583
20,24,60.6501392
20,27,85.11337459999999
20,29,49.6451872
20,36,48.467204200000005
20,39,93.1598859
20,43,94.1684209
20,50,47.9950044
20,66,106.3240702
21,20,201.21010719999998
21,21,889.8506662
22,12,157.80096659999998
22,16,188.1879046
22,17,258.2445166
22,18,67.5236798
22,19,319.8621286
22,20,103.9839597
22,21,177.6282952
22,22,164.49066929999998
22,23,52.7122941
22,27,79.6997396
22,38,52.8935564
22,39,103.7181363
22,47,129.5648299
22,48,116.84453500000001
22,50,82.2750566
22,52,110.8250887
22,62,76.3714648
23,42,54.182955799999995
24,1,63.343493099999996
24,4,45.6025536
24,39,50.4410936
24,45,153.7314928
25,1,310.8784745
25,18,181.14730980000002
25,34,194.97580879999998
26,3,48.3301357
26,13,100.1865016
26,22,48.467204200000005
26,26,172.2839473
26,39,243.40974210000002
26,41,184.29810460000002
26,45,128.390453
26,64,167.1958583
26,66,582.1934131
27,17,83.12305959999999
27,18,48.9854792
28,20,828.056381
29,29,269.73719900000003
29,39,108.5070632
29,52,139.3427216
30,7,145.2779756
30,8,204.8201214
30,29,179.7419638
30,39,166.0157825
30,65,70.8077243
31,29,97.32672579999999
31,31,188.1482113
32,1,131.6052372
32,24,121.4272601
32,27,35.4377591
32,29,283.44559559999993
32,39,121.4272601
32,62,122.82080020000001
32,64,263.2104744
32,65,1125.8260708999999
33,1,178.83564180000002
33,8,362.46089570000004
33,32,74.41678
33,34,86.81135619999999
33,39,113.7609862
33,41,130.60494000000003
34,12,80.278709
34,29,120.3830193
34,39,344.6342187
34,45,119.7542588
34,66,67.94719409999999
35,36,128.4950899
35,39,79.3793556
35,63,107.9295701
35,64,185.3718647
36,17,83.8841583
36,29,82.9962815
36,52,82.9962815
36,53,82.9962815
37,17,60.021204299999994
37,37,54.7967306
37,39,50.323792499999996
37,51,54.7967306
37,52,48.1231784
37,59,59.11156379999999
39,1,381.3638419
39,8,81.613796
39,16,96.5735714
39,39,280.4095185
39,43,78.6910271
40,0,273.661332
40,39,89.81791150000001
40,40,86.50381999999999
41,39,277.7601831
42,39,99.7900413
42,43,102.15743619999999
43,8,123.21166459999999
43,29,269.5348553
44,42,53.806757
45,65,63.5258421
46,1,287.0982989
46,18,46.904991100000004
46,20,79.10632120000001
47,16,58.298677100000006
47,21,121.26488119999999
47,62,412.8469343
48,39,56.2198772
48,45,220.246043
50,29,144.945407
51,32,44.8538781
51,39,45.9542789
51,44,54.21425279999999
51,66,46.904991100000004
52,21,300.1565239
52,53,79.10632120000001
53,16,130.1244746
53,18,41.0828389
53,29,104.5759276
53,36,107.13695609999999
53,43,51.737490799999996
53,50,251.4355759
53,53,282.9071028999999
53,54,48.388472
53,66,100.2811936
55,15,124.8210486
56,52,52.5688548
56,64,54.972764299999994
57,12,44.0772765
57,13,37.9867042
57,32,50.7126239
57,51,47.1006339
57,57,44.0772765
60,20,54.7967306
60,26,50.2987386
60,27,54.128153299999994
60,54,62.56422070000001
60,66,70.4482634
62,17,557.8096279
62,21,55.0252902
62,62,276.1330832
63,1,54.7306686
63,10,32.1033842
63,39,28.492964100000002
64,1,128.9054943
64,29,177.545518
64,39,65.3031076
65,1,48.8551929
65,27,48.8551929
65,29,48.1892487
65,52,70.4858932
66,16,105.4966627
66,17,90.383928
66,20,246.243482
66,39,68.3765445
66,66,196.8095586
67,18,176.600155
67,66,67.1095817
67,67,532.3800417
68,16,72.6763556
